ZIP_CODE,Positive,CasesP100000,ActiveCases,Deaths,ActiveCaseRate,DeathRate,CaseChange,CaseChangeRate,TotPop2020,Equity_Score,OverallCoVIDScore,SHAPE_Length,SHAPE_Area,active cases per 1k
78233,6251,13160.5541285949,201,99,423.175712661586,208.429828624363,-364,-58.9951377633712,47498,6,12,107758.70425873,-383443325.411236,4.231757126615857
78237,9182,25058.6758364718,195,166,532.176191255936,453.032039735822,-492,-67.3972602739726,36642,10,22,59384.3754177406,-193072477.482847,5.321761912559358
78238,3947,14711.1442415207,88,46,327.991054789415,171.449869549012,-172,-56.3934426229508,26830,8,14,87962.3089334905,-259649623.508825,3.2799105478941484
78239,4084,12674.9635330995,124,88,384.842183669036,273.113807765122,-304,-66.6666666666667,32221,6,12,73137.2095572859,-187313089.383522,3.848421836690357
78240,6695,12052.4221858179,131,99,235.827827683667,178.22103008155,-334,-62.6641651031895,55549,6,10,94158.7196749704,-313235335.64477,2.3582782768366664
78242,6661,20377.5085658346,171,102,523.127753303965,312.041116005874,-255,-52.1472392638037,32688,9,18,66703.7361042479,-217928387.68486,5.2312775330396475
78244,5480,15982.2678488101,160,50,466.635557629491,145.823611759216,-413,-65.4516640253566,34288,7,12,104375.976145958,-201752363.493041,4.666355576294913
78245,14447,15805.6540195177,352,132,385.103496564702,144.413811211763,-668,-56.4189189189189,91404,7,13,170739.090307222,-928169077.144266,3.8510349656470177
78247,5923,11963.2397495455,137,66,276.711775398909,133.30640274692,-315,-63.508064516129,49510,4,8,113355.103329695,-364107299.9887,2.767117753989093
78248,1371,9923.27735958309,27,12,195.425593514765,86.8558193398958,-49,-49.4949494949495,13816,2,6,56401.5243615326,-111426275.873544,1.954255935147655
78249,7018,12298.902947671,171,63,299.674038764852,110.406224808103,-242,-51.8201284796574,57062,5,9,100098.847683483,-411237101.435865,2.9967403876485226
78250,6772,12406.3387377485,161,91,294.952825867912,166.712466794907,-236,-50.4273504273504,54585,5,9,105914.001990402,-270192023.820922,2.9495282586791243
78251,7882,13317.7885915112,190,118,321.03271154366,199.378210327115,-330,-56.701030927835,59184,5,11,96161.0113517835,-404369272.396172,3.2103271154366047
78252,3519,20935.2132786007,72,16,428.341959664465,95.187102147659,-140,-57.6131687242798,16809,7,13,184015.849288716,-848257818.199944,4.283419596644655
78253,7163,12622.6937106807,204,48,359.490369534953,84.585969302342,-306,-51.864406779661,56747,4,8,127148.883343987,-928942360.932168,3.594903695349534
78254,9143,12658.3505240277,242,70,335.045480347229,96.91398191862,-398,-51.9582245430809,72229,4,8,216177.158395271,-699440050.315874,3.3504548034722896
78255,1685,9124.38403638923,44,8,238.262847241025,43.3205176801863,-79,-56.0283687943262,18467,3,6,176014.973285272,-453594748.584599,2.3826284724102456
78256,1627,12149.0442054958,37,5,276.284348864994,37.3357228195938,-68,-54.8387096774194,13392,3,6,80070.23020323,-233264887.006653,2.7628434886499407
78257,1546,14881.1242660506,35,6,336.894792569063,57.7533930118394,-89,-66.9172932330827,10389,3,7,216828.016186438,-1601867808.53759,3.3689479256906343
78258,5736,11620.7455429498,111,103,224.878444084279,208.670988654781,-280,-63.2054176072235,49360,3,7,136378.938897875,-471721440.160161,2.2487844408427877
78259,3056,10479.0316496931,71,30,243.4591777252,102.870075095155,-135,-54.2168674698795,29163,3,7,100643.25734098,-484994187.918869,2.4345917772519976
78260,4315,11674.7835497835,126,22,340.909090909091,59.5238095238095,-227,-55.3658536585366,36960,2,5,139814.32126266,-671632018.239465,3.4090909090909087
78261,2959,12110.6699954979,80,9,327.426022183113,36.8354274956002,-142,-55.0387596899225,24433,3,6,160420.33069011,-778486059.879329,3.27426022183113
78263,681,13210.4752667313,24,5,465.56741028128,96.9932104752667,-35,-54.6875,5155,3,8,232015.748681979,-1205200908.08681,4.655674102812803
78264,2237,17093.2986933598,70,38,534.881943913808,290.364483838924,-97,-50.0,13087,7,14,247111.268722492,-1949932171.54482,5.348819439138076
